time_mandante,gols_mandante,time_visitante,gols_visitante,fase,data
Palmeiras,5,Grêmio,1,Quartas (Volta),02/08/95
Grêmio,5,Palmeiras,0,Quartas (Ida),26/07/95
Grêmio,0,Palmeiras,0,Fase de Grupos,14/03/95
Palmeiras,3,Grêmio,2,Fase de Grupos,21/02/95
São Paulo,2,Palmeiras,1,Oitavas (Volta),24/07/94
Palmeiras,0,São Paulo,0,Oitavas (Ida),27/04/94
Palmeiras,2,Cruzeiro,0,Fase de Grupos,25/03/94
Cruzeiro,1,Palmeiras,1,Fase de Grupos,02/03/94
São Paulo,2,Flamengo,0,Quartas (Volta),21/04/93
Flamengo,1,São Paulo,1,Quartas (Ida),14/04/93
Internacional,1,Flamengo,1,Fase de Grupos,10/03/93
Flamengo,0,Internacional,0,Fase de Grupos,10/02/93
Criciúma,1,São Paulo,1,Quartas (Volta),20/05/92
São Paulo,1,Criciúma,0,Quartas (Ida),13/05/92
São Paulo,4,Criciúma,0,Fase de Grupos,01/04/92
Criciúma,3,São Paulo,0,Fase de Grupos,06/03/92
Corinthians,0,Flamengo,2,Fase de Grupos,20/03/91
Flamengo,1,Corinthians,1,Fase de Grupos,20/02/91
Bahia,0,Internacional,0,Quartas (Volta),26/04/89
Internacional,1,Bahia,0,Quartas (Ida),19/04/89
Internacional,0,Bahia,0,Fase de Grupos,21/03/89
Bahia,2,Internacional,1,Fase de Grupos,24/02/89
Santos,0,Flamengo,5,Fase de Grupos,08/05/84
Flamengo,4,Santos,1,Fase de Grupos,11/02/84
Flamengo,1,Grêmio,3,Fase de Grupos,06/07/83
Grêmio,1,Flamengo,1,Fase de Grupos,05/06/83
São Paulo,0,Flamengo,0,Fase de Grupos,22/04/82
Flamengo,3,São Paulo,2,Fase de Grupos,16/02/82
Flamengo,0,Atlético-MG,0,Fase de Grupos (Desempate),21/08/81
Atlético-MG,2,Flamengo,2,Fase de Grupos,28/07/81
Flamengo,2,Atlético-MG,2,Fase de Grupos,03/07/81
Palmeiras,1,Guarani,4,Fase de Grupos,25/03/79
Guarani,1,Palmeiras,0,Fase de Grupos,25/02/79
São Paulo,1,Atlético-MG,2,Fase de Grupos,26/03/78
Atlético-MG,1,São Paulo,1,Fase de Grupos,15/03/78
Cruzeiro,0,Corinthians,1,Fase de Grupos,10/04/77
Corinthians,1,Cruzeiro,1,Fase de Grupos,03/04/77
Internacional,0,Cruzeiro,2,Fase de Grupos,28/03/76
Cruzeiro,5,Internacional,4,Fase de Grupos,07/03/76
Cruzeiro,3,Vasco,2,Fase de Grupos,23/03/75
Vasco,3,Cruzeiro,3,Fase de Grupos,23/02/75
Palmeiras,1,São Paulo,2,Fase de Grupos,24/04/74
São Paulo,2,Palmeiras,0,Fase de Grupos,30/03/74
Botafogo,2,Palmeiras,0,Fase de Grupos,12/03/73
Palmeiras,3,Botafogo,2,Fase de Grupos,24/02/73
São Paulo,0,Atlético-MG,0,Fase de Grupos,09/03/72
Atlético-MG,2,São Paulo,2,Fase de Grupos,30/01/72
Palmeiras,0,Fluminense,2,Fase de Grupos,10/03/71
Fluminense,0,Palmeiras,0,Fase de Grupos,29/01/71
Náutico,1,Palmeiras,3,Fase de Grupos,03/03/68
Palmeiras,2,Náutico,0,Fase de Grupos,21/01/68
Santos,4,Cruzeiro,0,Fase de Grupos,14/05/67
Cruzeiro,3,Santos,0,Fase de Grupos,07/05/67
Botafogo,0,Santos,4,Semifinal (Volta),28/08/63
Santos,1,Botafogo,1,Semifinal (Ida),22/08/63
