"id_jogo","rodada","data","time_mandante","gols_mandante","gols_visitante","time_visitante","detalhes","pontos_mandante","pontos_visitante"
530,45,2003-12-06,"Vitória",0,1,"Atlético-MG","Quirino 88'",0,3
531,45,2003-12-06,"Atlético-PR",2,2,"Vasco da Gama","Adriano Vieira 45+2', 75'; Morais 60', Wecsley 77'",1,1
532,45,2003-12-06,"Corinthians",1,1,"Paraná","Carlos Renato 9'; Marquinhos 31'",1,1
533,45,2003-12-07,"Guarani",2,1,"Paysandu","Wagner 12', Gílson 26'; Magnum 15'",3,0
534,45,2003-12-07,"Cruzeiro",5,2,"Fluminense","Mota 48', Alex 61', 77', Márcio Nobre 70', Zinho 89'; Rodolfo Bispo 24', Jadílson 78'",3,0
535,45,2003-12-07,"Fortaleza",2,2,"Coritiba","Daniel 78', Rena 90'; Alexandre Fávaro 28', Marcel 55'",1,1
536,45,2003-12-07,"Internacional",1,1,"São Paulo","Cidmar 84'; Diego Tardelli 15'",1,1
537,45,2003-12-07,"Flamengo",1,1,"Ponte Preta","Felipe Loureiro 28'; Rafael Ueta 36'p",1,1
538,45,2003-12-07,"Criciúma",3,2,"Bahia","Paulo César Baier 17'p, Rômulo 51', Léo Oliveira 80'; Danilo Vergner 12', Pretto 46'",3,0
539,45,2003-12-07,"Santos",2,2,"Grêmio","Alex Rodrigo 45', Diego Ribas 71'; Christian Corrêa 41', Bruno 63'",1,1
540,45,2003-12-07,"Juventude",2,1,"São Caetano","Marcelo Pereira 4', Felipe Spellmeier 58'; Somália 72'",3,0
541,46,2003-12-13,"Figueirense",2,0,"Guarani","Danilo 4'p, 62'",3,0
542,46,2003-12-13,"Paraná",2,0,"Vitória","Fernando Miguel 15', Renaldo 38'",3,0
543,46,2003-12-13,"São Caetano",5,0,"Internacional","Zé Carlos 35', Somália 59', 74', Warley 79', Adhemar 84'",3,0
544,46,2003-12-13,"Coritiba",2,0,"Criciúma","Marcel 36'p, Aparecido Lima 60'",3,0
545,46,2003-12-13,"Atlético-MG",3,2,"Goiás","Renato 8', Luiz Alberto 48', Alex 69'; Fabão 22', Dimba 64'p",3,0
546,46,2003-12-14,"São Paulo",1,3,"Flamengo","Diego Tardelli 12'; Rafael 43', Edílson 46', 66'",0,3
547,46,2003-12-14,"Vasco da Gama",1,1,"Santos","Régis Pitbull 53'; Fabiano Costa 83'p",1,1
548,46,2003-12-14,"Fluminense",1,0,"Juventude","Marcelo Macedo 43'",3,0
549,46,2003-12-14,"Grêmio",3,0,"Corinthians","George Lucas 20', Bruno 59', Ânderson Lima 83'",3,0
550,46,2003-12-14,"Paysandu",2,2,"Atlético-PR","Souza 8', Jóbson 16'; Alex Mineiro 39', Jadson 45+1'",1,1
551,46,2003-12-14,"Ponte Preta",2,0,"Fortaleza","Gerson 12', Adrianinho 70'",3,0
552,46,2003-12-14,"Bahia",0,7,"Cruzeiro","Alex 13'p, 17'p, 23'p, 38'p, 66', Felipe Mello 55', Mota 68'",0,3
