id,time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,campeonato,data,pontos_mandante,pontos_visitante,detalhes
17,Grêmio,3,2,Vasco da Gama,2,2002,Aug 14,3,0," [Anderson Lima 1', 18'p, Rodrigo Fabri 81'; Ramón Menezes 68'p, 71']"
18,Atlético-PR,4,0,Bahia,2,2002,Aug 14,3,0," [Fabiano 45+1', 80', Dagoberto 55', Rodriguinho 90+3']"
19,Figueirense,0,0,Guarani,2,2002,Aug 14,1,1,NA
20,Ponte Preta,2,0,Coritiba,2,2002,Aug 14,3,0," [Elivélton 43', Alex Oliveira 72']"
21,Vitória,4,1,Goiás,2,2002,Aug 14,3,0," [André 20', 75', 78', Marcelo Heleno 22'; Neném 48']"
22,Corinthians,3,2,Internacional,2,2002,Aug 14,3,0," [Deivid 27', Guilherme 43', 87'; Fabiano Costa 21', 69']"
23,Flamengo,0,0,Juventude,2,2002,Aug 14,1,1,NA
24,Portuguesa,1,0,Paraná,2,2002,Aug 14,3,0, [Ricardo Oliveira 3']
25,Gama,0,1,São Paulo,2,2002,Aug 14,0,3, [Júlio Santos 81']
26,Fluminense,3,1,Grêmio,3,2002,Aug 17,3,0," [Magno Alves 10', Romário 62', 82'; Luiz Mário 77']"
27,Internacional,1,0,Ponte Preta,3,2002,Aug 17,3,0, [Leandrão 56']
28,Atlético-PR,2,1,Vasco da Gama,3,2002,Aug 17,3,0," [Kléber 45', 51'; Siston 48']"
