time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,data,pontos_mandante,pontos_visitante,match_id,detalhes
Portuguesa,3,2,São Caetano,10,Sep 11,3,0,107," [Édson Araújo 15', 42', Alexandre Gaúcho 39'; Adhemar 52', 76']"
Internacional,3,2,Palmeiras,10,Sep 11,3,0,108," [Luiz Alberto 22', Fernando Baiano 11', Cris 85'; Nenê 72', César 81']"
Coritiba,4,2,Santos,10,Sep 11,3,0,109," [Lúcio Flávio 38'p, Edinho Baiano 40', Reginaldo Araújo 41', Da Silva 65'; Diego Ribas 24', 30']"
Bahia,1,1,Grêmio,10,Sep 11,1,1,110, [Robgol 1'; Gilberto 66']
Ponte Preta,1,0,Paraná,10,Sep 11,3,0,111, [Macedo 6']
Figueirense,0,2,Vitória,10,Sep 11,0,3,112," [André 23', Samir 86']"
Paysandu,2,0,Vasco da Gama,10,Sep 11,3,0,113," [Albertinho 41', Marcos Dobrada 61']"
Botafogo,0,4,Juventude,10,Sep 12,0,3,114," [Marcelo Pereira 20', Leonardo Manzi 46', Michel 57', 63']"
Corinthians,3,0,Goiás,10,Sep 12,3,0,115," [Deivid 36', 42', Rogério Régis 39']"
Cruzeiro,0,2,Guarani,10,Sep 12,0,3,116," [Sérgio Alves 51', João Paulo 87']"
Gama,1,2,Fluminense,10,Sep 12,0,3,117," [Dimba 9'; César 25', Magno Alves 63']"
Internacional,2,4,Figueirense,11,Sep 14,0,3,118," [Márcio 86', Leandrão 90+1'; Thiago Gentil 28', Selmir 59', Marcelinho 85', "
Santos,2,0,Grêmio,11,Sep 14,3,0,119," [Alberto 33', Léo 89']"
Paraná,2,2,Atlético-PR,11,Sep 14,1,1,120," [Émerson 28', Fabinho 56'; Kléber 22', 33']"
Palmeiras,1,2,Bahia,11,Sep 14,0,3,121," [Alexandre 71'; Gil Baiano 14', Geraldo 88']"
São Paulo,6,0,Fluminense,11,Sep 15,3,0,122," [Júlio Baptista 6', Kaká 56', Régis 69', Leandro Amaral 81', Luís Fabiano 85', 89']"
Coritiba,3,1,Goiás,11,Sep 15,3,0,123," [Reginaldo Nascimento 74', Danilo 79', Lúcio Flávio 85'; Neném 39']"
Botafogo,1,1,Vasco da Gama,11,Sep 15,1,1,124, [Carlos Alberto 44'; Cadu 9']
Guarani,0,0,Corinthians,11,Sep 15,1,1,125,NA
São Caetano,4,0,Gama,11,Sep 15,3,0,126," [Wágner 4', Somália 15', 58', Lúcio 44']"
Vitória,4,3,Portuguesa,11,Sep 15,3,0,127," [Fernando 18', André 56', Ramalho 61', Marcos 89'; Alexandre Gaúcho 41', 74', Júnior 57']"
Juventude,1,0,Atlético-MG,11,Sep 15,3,0,128, [Índio 71']
Cruzeiro,3,1,Paysandu,11,Sep 15,3,0,129," [Marcelo Ramos 51', 53', Alessandro 90'; Gino 2']"
Vasco da Gama,1,2,Santos,12,Sep 18,0,3,130," [Rodrigo Souza 16'; Elano 5', Alex Rodrigo 62']"
Portuguesa,2,0,Botafogo,12,Sep 18,3,0,131," [Édson Araújo 76', Ricardo Oliveira 77']"
Goiás,3,0,São Caetano,12,Sep 18,3,0,132," [Neném 50', Jefferson Feijão 65', Tiago 82']"
Figueirense,3,1,Cruzeiro,12,Sep 18,3,0,133," [Igor 21', Thiago Gentil 39', William 90+2'; Luisão 45']"
Paysandu,1,1,Coritiba,12,Sep 18,1,1,134, [Jóbson 90+1'p; Lima 30']
Atlético-PR,1,3,Gama,12,Sep 18,0,3,135," [Kléber 70'; Dimba 7', 75', Rafael 27']"
Bahia,2,0,São Paulo,12,Sep 18,3,0,136," [Geraldo 75', Bebeto Campos 90+1']"
Ponte Preta,2,0,Palmeiras,12,Sep 18,3,0,137," [Elivélton 57'p, 62'p]"
Grêmio,2,0,Juventude,12,Sep 19,3,0,138," [Adriano Chuva 38', Tinga 76']"
Corinthians,2,1,Vitória,12,Sep 19,3,0,139," [Deivid 25', Fábio Luciano 57'; Allann Delon 85']"
Atlético-MG,4,1,Paraná,12,Sep 19,3,0,140," [Souza 9', Mancini 56', 63, 72'; Rodrigão 71']"
Botafogo,0,2,Coritiba,13,Sep 21,0,3,141, [Jabá 24' 86']
Portuguesa,0,1,Cruzeiro,13,Sep 21,0,3,142, [Alessandro 75']
Figueirense,1,0,Palmeiras,13,Sep 21,3,0,143, [Selmir 38']
Santos,1,1,Goiás,13,Sep 21,1,1,144, [Elano 39'; Araújo 34']
Vasco da Gama,1,1,Internacional,13,Sep 22,1,1,145, [Ely Thadeu 73'; Fernando Baiano 56']
Corinthians,2,1,Paraná,13,Sep 22,3,0,146," [Guilherme 83', 86'; Márcio 21']"
Atlético-MG,0,3,Flamengo,13,Sep 22,0,3,147," [Liédson 48', 62'; Zé Carlos 58']"
Atlético-PR,1,1,São Paulo,13,Sep 22,1,1,148, [Dagoberto 74'; Ricardinho 87']
Paysandu,4,3,Ponte Preta,13,Sep 22,3,0,149," [Jóbson 21', 48', Rato 63', Wélber 76'; Humberto 41', 50', Fabrício Carvalho 43']"
Guarani,0,0,Juventude,13,Sep 22,1,1,150,NA
São Caetano,1,0,Bahia,13,Sep 22,3,0,151, [Daniel 18']
Grêmio,4,0,Vitória,13,Sep 22,3,0,152," [Rodrigo Fabri 2', 61', 85', Emerson 83']"
São Paulo,1,2,Atlético-MG,14,Sep 25,0,3,153," [Júlio Baptista 87'; Mancini 11', Paulinho 84']"
Cruzeiro,4,0,Vasco da Gama,14,Sep 25,3,0,154," [Marcelo Ramos 32', Paulo Miranda 45', Fábio Júnior 53', Alessandro 68']"
Internacional,1,0,Bahia,14,Sep 25,3,0,155, [Mahicon Librelato 40']
Fluminense,0,1,Atlético-PR,14,Sep 25,0,3,156, [Adriano Vieira 46']
Paraná,1,2,Guarani,14,Sep 25,0,3,157," [Márcio 41'; Sérgio Alves 35', 58']"
Vitória,2,2,São Caetano,14,Sep 25,1,1,158," [Alessandro 66', Nadson 90+2'; Adhemar 45+1', Wágner 60']"
Ponte Preta,3,2,Figueirense,14,Sep 25,3,0,159," [Humberto 20', Hernâni 50', Farício Carvalho 54'; André Luís 25', Thiago Gentil 61']"
Juventude,0,1,Corinthians,14,Sep 25,0,3,160, [Renato 64'og]
Gama,0,0,Santos,14,Sep 26,1,1,161,NA
Coritiba,2,0,Portuguesa,14,Sep 26,3,0,162," [Lima 10', 43']"
Palmeiras,1,0,Paysandu,14,Sep 26,3,0,163, [Itamar 70']
Flamengo,2,3,Grêmio,14,Sep 26,0,3,164," [Fábio Baiano 64', Hugo 81'; Gilberto 45+1', Tinga 53', Rodrigo Fabri 55']"
Internacional,1,2,Paraná,15,Sep 28,0,3,165," [Cleitão 4'; Maurílio 6', 16']"
Fluminense,2,1,Guarani,15,Sep 28,3,0,166," [Magno Alves 3', Marcão 8'; Sérgio Alves 86'p]"
Bahia,1,2,Botafogo,15,Sep 28,0,3,167," [Geraldo 36'; Lúcio 85', 88']"
Cruzeiro,2,1,Juventude ,15,Sep 28,3,0,168," [Alex 34', Alessandro 63'; Valdo 45']"
Atlético-PR,0,1,São Caetano,15,Sep 28,0,3,169, [Claudecir 22']
Vasco da Gama,4,0,Portuguesa,15,Sep 29,3,0,170," [Geder 26', Valdir Bigode 45+1', 48', Léo Lima 90+1']"
São Paulo,2,2,Corinthians,15,Sep 29,1,1,171," [Reinaldo Oliveira 70', 80'; Gil 57', 90']"
Paysandu,5,2,Atlético-MG,15,Sep 29,3,0,172," [Jóbson 21'p, Luís Fernando 29', Magno 61, Zé Augusto 63', Sandro 71'; Mancini 16', 80']"
Ponte Preta,3,1,Flamengo,15,Sep 29,3,0,173," [Fabrício Carvalho 45+1', 52', Caíco 51; Fábio Baiano 85'p]"
Figueirense,2,1,Gama,15,Sep 29,3,0,174," [Igor 55', 60'; Dimba 70']"
Goiás,4,1,Grêmio,15,Sep 29,3,0,175," [Araújo 41', 72', Neném 47'p, 49'; Rodrigo Fabri 45'p]"
Santos,1,1,Palmeiras,15,Sep 29,1,1,176, [Robinho 21'; Javier Arce 87']
Grêmio,3,0,Paysandu,16,Oct 2,3,0,177," [Rodrigo Fabri 70', 81', 83']"
Botafogo,2,1,Ponte Preta,16,Oct 2,3,0,178," [Ademílson 63', Galeano 78'p; Elivélton 83'p]"
Gama,1,1,Internacional,16,Oct 2,1,1,179, [Dimba 51'; Cleiton Xavier 52']
São Caetano,1,0,Coritiba,16,Oct 2,3,0,180, [Robert 73']
Palmeiras,1,1,São Paulo,16,Oct 2,1,1,181, [Darío Muñoz 37'; Luís Fabiano 40']
Vitória,2,1,Fluminense,16,Oct 2,3,0,182," [Aristizábal 49', Paulo Rodrigues 62'; Beto 56']"
Juventude,2,1,Goiás,16,Oct 2,3,0,183," [Índio 23', Leonardo Manzi 27'; Jefferson Feijão 46']"
Flamengo,1,1,Bahia,16,Oct 2,1,1,184, [Iranildo 1'p; Nei Fabiano 82']
Paraná,1,1,Cruzeiro,16,Oct 3,1,1,185, [Emerson 20'; Paulo Miranda 75']
Corinthians,2,4,Santos,16,Oct 3,0,3,186," [Fabinho 56', Leandro Azevedo 80'; Alberto 18', 31', Elano 47', 53']"
Atlético-MG,0,2,Figueirense,16,Oct 3,0,3,187," [Lino 15', 90'p]"
Botafogo,1,1,São Caetano,17,Oct 5,1,1,188, [Ademílson 32'; Robert 71']
Flamengo,2,3,São Paulo,17,Oct 5,0,3,189," [Liédson 59', 89'; Reinaldo Oliveira 25', 57', Kaká 81']"
Gama,2,0,Paysandu,17,Oct 5,3,0,190," [Rafael 8', Dimba 64']"
Palmeiras,2,1,Portuguesa,17,Oct 5,3,0,191," [Juninho 11', Alexandre 67'; Alex Alves 20']"
Goiás,0,0,Atlético-PR,17,Oct 5,1,1,192,NA
Guarani,1,2,Vasco da Gama,17,Oct 5,0,3,193," [Léo 33'; Rodrigo Souto 22', Ramón Menezes 35']"
Fluminense,3,2,Paraná,18,Oct 8,3,0,194," [Romário 9', 21', Magno Alves 81'; Márcio 45', Alexandre 73']"
São Paulo,3,1,Coritiba,18,Oct 8,3,0,195," [Reinaldo Oliveira 7', 68', Jorginho Paulista 83'; Willians 89']"
Guarani,3,1,Gama,18,Oct 8,3,0,196," [Sérgio Alves 3', 66', Léo 87'; Dimba 41']"
Grêmio,1,1,Botafogo,18,Oct 9,1,1,197, [Roberto 59'; Odvan 77']
Flamengo,2,0,São Caetano,18,Oct 9,3,0,198," [Liédson 3', 75']"
Corinthians,2,2,Figueirense,18,Oct 9,1,1,199," [Rogério Régis 7', Guilherme 81'; Mendes 60', Lino 82'p]"
Santos,3,2,Atlético-MG,18,Oct 9,3,0,200," [Alberto 27', Alex Rodrigo 84', Robinho 88'; Souza 55', Paulinho 90+2']"
Atlético-PR,0,1,Ponte Preta,18,Oct 9,0,3,201, [Macedo 81']
Paysandu,3,2,Bahia,18,Oct 9,3,0,202," [Souza 4', 76', Jóbson 29'; Nonato 14', Jair 18']"
Vitória,4,2,Cruzeiro,18,Oct 9,3,0,203," [Aristizábal 42'p, 76', 85', Élson 50'; Maicon 16', Fábio Júnior 30']"
Juventude,1,1,Portuguesa,18,Oct 9,1,1,204, [Edmílson 83'; Alex Alves 54']
Goiás,4,2,Palmeiras,18,Oct 9,3,0,205," [Fabão 23', Araújo 30', 57', Evair 34'; Javier Arce 50'p, 73'p]"
Palmeiras,2,2,Juventude,19,Oct 12,1,1,206," [Javier Arce 54'p, Rubens Cardoso 90+1'; Leonardo Manzi 83', 85']"
Figueirense,0,3,São Paulo,19,Oct 12,0,3,207," [Kaká 34', 77', Luís Fabiano 86']"
São Caetano,2,0,Vasco da Gama,19,Oct 12,3,0,208," [Marco Aurélio 27', Adhemar 48']"
Paraná,1,0,Vitória,19,Oct 12,3,0,209, [Márcio 65']
Botafogo,1,0,Paysandu,19,Oct 13,3,0,210, [Rodrigão 19']
Portuguesa,1,1,Atlético-PR,19,Oct 13,1,1,211, [Édson Araújo 90'p; Dagoberto 60']
Ponte Preta,3,2,Goiás,19,Oct 13,3,0,212," [Caíco 14', Alex Oliveira 31', Fabrício Carvalho 39'; Araújo 22', André Cruz 28']"
Cruzeiro,1,4,Santos,19,Oct 13,0,3,213," [Elano 4', 53', André Luiz 18', Robinho 62'; Joãozinho 86']"
Internacional,2,2,Fluminense,19,Oct 13,1,1,214," [Daniel Carvalho 53', Mahicon Librelato 86'; Magno Alves 32', Romário 78']"
Coritiba,0,1,Guarani,19,Oct 13,0,3,215, [Luís Fernando Martinez 51']
Gama,1,3,Corinthians,19,Oct 13,0,3,216," [Lindomar 5'p; Deivid 32', Renato 54', Gil 64']"
Bahia,5,3,Atlético-MG,19,Oct 13,3,0,217," [Nonato 11', Gutiérrez 14'og, Valdomiro 55', Robgol 79', Geraldo 89'; Marques 9', Mancini 19', Michel 45+1']"
Paysandu,3,1,Paraná,20,Oct 16,3,0,218," [Balão 65', 69', 84'; Waldir 90']"
Vasco da Gama,2,1,Flamengo,20,Oct 16,3,0,219," [Ramón Menezes 31', 84'; Iranildo 40'p]"
Coritiba,0,0,Grêmio,20,Oct 16,1,1,220,NA
Internacional,1,2,Goiás,20,Oct 16,0,3,221," [Mahicon Librelato 83'; Márcio 31'og, Evair 47']"
Figueirense,3,2,Atlético-PR,20,Oct 16,3,0,222," [Thiago Gentil 23', 64', Paulo Sérgio 50'; Adriano Vieira 31', Kléberson 55']"
Gama,1,0,Juventude,20,Oct 16,3,0,223, [Dimba 71']
São Paulo,3,2,Santos,20,Oct 16,3,0,224," [Luís Fabiano 56'p, Reinaldo Oliveira 58', Ricardinho 89'p; Robert 70', Diego Ribas 83'p]"
Bahia,2,1,Ponte Preta,20,Oct 16,3,0,225," [Robgol 40'p, Nonato 65'; Valdir Lucas 63']"
Palmeiras,4,2,Guarani,20,Oct 17,3,0,226," [Juninho 4', Javier Arce 28'p, Itamar 38', César 41'; Sérgio Alves 50'p, Adriano 53']"
Botafogo,1,4,Vitória,20,Oct 17,0,3,227," [Lúcio 51'; Allann Delon 4', 40', Aristizábal 13', 67']"
Atlético-MG,2,1,São Caetano,20,Oct 17,3,0,228," [Paulinho 27', Michel 40'; Magrão 81'p]"
Santos,1,2,Portuguesa,21,Oct 19,0,3,229," [Diego Ribas 10'; César 32', Danilo 67']"
Vasco da Gama,1,0,Paraná,21,Oct 19,3,0,230, [Ramón Menezes 43']
Grêmio,3,1,Gama,21,Oct 19,3,0,231," [Rodrigo Fabri 73', Anderson Lima 76'p, 90'p; Dimba 13']"
Corinthians,1,0,Ponte Preta,21,Oct 20,3,0,232, [Marcinho 74']
Fluminense,1,0,Bahia,21,Oct 20,3,0,233, [Romário 60']
Cruzeiro,1,2,Atlético-MG,21,Oct 20,0,3,234," [Luisão 81'; Souza 56', Paulinho 65']"
Guarani,1,2,São Paulo,21,Oct 20,0,3,235," [Luís Fernando Martinez 40'; Ricardinho 24', Luís Fabiano 38'p]"
Vitória,1,2,Flamengo,21,Oct 20,0,3,236," [Allann Delon 79'; Zé Carlos 14', Liédson 58']"
São Caetano,2,1,Paysandu,21,Oct 20,3,0,237," [Magrão 74'p, Adhemar 85'; Balão 79']"
Goiás,1,0,Figueirense,21,Oct 20,3,0,238, [Josué 80']
Atlético-PR,2,3,Internacional,21,Oct 20,0,3,239," [Alex Mineiro 23', Fabiano 85'; Mahicon Librelato 22', Luís Alberto 47', 73']"
Juventude,5,3,Coritiba,21,Oct 20,3,0,240," [Índio 6', Edmílson 19', Cláudio Pitbull 38', 49', Itaqui 66'; Da Silva 21', Lúcio Flávio 62'p, 64'p]"
Corinthians,2,2,Palmeiras,22,Oct 23,1,1,241," [Gil 6', Rogério Régis 70'p; Itamar 18', Javier Arce 61'p]"
Portuguesa,2,0,Guarani,22,Oct 23,3,0,242," [Ricardo Oliveira 30', Édson Araújo 45']"
São Caetano,1,1,Cruzeiro,22,Oct 23,1,1,243, [Adhemar 73'; Luisão 32']
